Organisation Data ID,City,Organisation Name,Remarks,Blacklist Reason
3,,HATCHING TECHNOLOGY SDN BHD,Officer: Azrin Hadi Abdullah,Not Found
5,,TMS MSC SDN,UP: Ms Nurul,Not Found
2,,MERP TECHNOLOGIES SDN BHD,,Not Found
4,,VISUAL XTREME SDN BHD,Not Found,no track record
7,PETALING JAYA,XYBASE SDN BHD,Xybase Sdn Bhd is permanently closed.,Not Found
6,,DYNAMICBIZ CORPORATION SDN BHD,Not Found,no track record
1,CYBERJAYA,MALAYSIAN INDUSTRY GOVERNMENT GROUP FOR HIGH TECHNOLOGY (MIGHT),,Not Found
9,CYBERJAYA,CYBER SECURITY,career@cybersecurity.my,Not Found
10,CYBERJAYA,RIVER WALK MULTIMEDIA SDN BHD,,No track record
12,PETALING JAYA,HITACHI EBWORX SDN BHD,,Not Found
11,BAYAN LEPAS,MOBIWEB SDN BHD,,Not Found
14,CYBERJAYA,AMWAY  IT SERVICES SDN BHD,Lynette-hong@amway.com (UP: Lynette Hong),no track record
13,BANDAR BARU BANGI,BASENET TECHNOLOGY SDN BHD,,Not Found
17,,,,Not Found
16,KUALA LUMPUR,ENCORAL DIGITAL SOLUTIONS SDN BHD,,Not Found
18,,,,Not Found
19,,,,Not Found
20,,,,Not Found
26,,,,Not Found
25,,,,Not Found
24,,,,Not Found
27,,,,Not Found
23,,,,Not Found
21,,,,Not Found
22,,,,Not Found
28,,,,Not Found
29,,,,Not Found
30,,,,Not Found
31,,,,Not Found
32,,,,Not Found
36,,,,Not Found
37,,,,Not Found
35,,,,Not Found
33,,,,Not Found
38,,,,Not Found
34,,,,Not Found
39,,,,Not Found
40,,,,Not Found
41,,,,Not Found
42,,,,Not Found
46,,,,Not Found
45,,,,Not Found
47,,,,Not Found
44,,,,Not Found
43,,,,Not Found
48,,,,Not Found
49,,,,Not Found
50,,,,Not Found
51,,,,Not Found
52,,,,Not Found
54,,,,Not Found
55,,,,Not Found
56,,,,Not Found
57,,,,Not Found
53,,,,Not Found
58,,,,Not Found
59,,,,Not Found
60,,,,Not Found
61,,,,Not Found
62,,,,Not Found
64,,,,Not Found
63,,,,Not Found
67,,,,Not Found
66,,,,Not Found
65,,,,Not Found
68,,,,Not Found
69,,,,Not Found
70,,,,Not Found
71,,,,Not Found
72,,,,Not Found
73,,,,Not Found
74,,,,Not Found
75,,,,Not Found
76,,,,Not Found
77,,,,Not Found
78,,,,Not Found
79,,,,Not Found
80,,,,Not Found
81,,,,Not Found
